TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1319218240897,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"311,411.19",0.62,0.00,"311,269.46",141.10,"311,525.72",0
SAPUTO CHEESE USA INC,95360FDRYF691IN,2019,95360,"NEWMAN, CA","STANISLAUS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217880044,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"309,875.00",0.00,0.00,0.00,"309,875.00","309,875.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2020,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1320219273099,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"297,088.18",0.00,0.00,0.00,"297,088.18","302,721.38",0
PINNACLE PREMIX,9329WPNNCL719WS,2019,93291,"VISALIA, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319218083703,311 Food,311119 Other Animal Food Manufacturing,NA,       ,"290,080.00",0.00,0.00,0.00,"290,080.00","290,080.00",0
VALMONT COATINGS CALWEST GALVANIZING,90810CLWST2226E,2019,90810,"LONG BEACH, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319218303307,332 Fabricated Metals,"332812 Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufactur..",VALMONT INDUSTRIES INC,       ,"289,747.08",660.00,45.00,0.00,"289,042.08","312,947.08",65
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Barium (7440-39-3),1318217424629,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"283,116.48",48.58,0.00,"282,990.90",77.00,"304,716.14",2
US ARMY SIERRA ARMY DEPOT,96113SRRRMSIERR,2018,96113,"HERLONG, CA","LASSEN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1318218525741,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"279,822.00",0.00,0.00,0.00,"279,822.00","279,822.00",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2019,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1319218161103,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"278,546.40","274,653.40","3,893.00",0.00,0.00,"332,546.40",616
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2018,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1318217200827,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"274,963.96","5,595.00",0.00,0.00,"269,368.96","3,373,707.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2019,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium and chromium compounds (N090),1319217930282,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"272,392.00",0.00,0.00,0.00,"272,392.00","276,716.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2018,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium and chromium compounds (N090),1318217200803,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"267,907.50",0.00,0.00,0.00,"267,907.50","267,907.50",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","Creosote, coal tar (8001-58-9)",1319218436069,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"265,601.02",0.00,0.00,"265,601.02",0.00,"265,601.02",0
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2020,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1320219131570,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"263,101.00","261,000.00","2,101.00",0.00,0.00,"276,101.00",155
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2018,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1318216875221,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"257,306.69",9.06,36.03,0.00,"257,261.60","323,180.69",0
SAPUTO CHEESE USA INC,95360FDRYF691IN,2018,95360,"NEWMAN, CA","STANISLAUS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217168881,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"255,722.00",0.00,0.00,0.00,"255,722.00","255,722.00",0
US ECOLOGY VERNON INC,90058SFLTR5375S,2020,90058,"VERNON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1320219377506,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,US ECOLOGY INC,       ,"253,527.20",0.00,0.00,0.00,"253,527.20","253,527.20",0
INDUSTRIAL SERVICE OIL CO,9002WNDSTR17SUT,2019,90023,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1319217775636,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"252,155.00",10.00,0.00,0.00,"252,145.00","992,355.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Vanadium compounds (N770),1320219146988,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"251,676.98",0.06,0.00,"251,676.91",0.01,"251,676.98",0
ALLOYS CLEANING INC,90001LLYSC1960E,2020,90001,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1320219396823,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",NA,       ,"250,010.00",10.00,0.00,0.00,"250,000.00","350,010.00",1
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2019,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319218433910,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,"247,475.00",472.00,"3,000.00",0.00,"244,003.00","271,501.00",3
GEORGE INDUSTRIES,90063GRGND4116W,2020,90063,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320219243122,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",VALMONT INDUSTRIES INC,       ,"246,758.00",0.00,1.00,0.00,"246,757.00","247,658.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2020,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium compounds (N090),1320219273087,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"241,609.35",0.00,0.00,0.00,"241,609.35","246,190.05",1
GEORGE INDUSTRIES,90063GRGND4116W,2019,90063,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218309488,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",VALMONT INDUSTRIES INC,       ,"240,000.00",0.00,0.00,0.00,"240,000.00","240,000.00",0
US MARINE CORPS MCB CAMP PENDLETON,92055MRNCRPOBOX,2020,920558008,"CAMP PENDLETON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1320218700639,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"240,000.00",0.00,0.00,"240,000.00",0.00,"240,020.00",0
GEORGE INDUSTRIES,90063GRGND4116W,2018,90063,"LOS ANGELES, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217518721,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",VALMONT INDUSTRIES INC,       ,"237,270.00",0.00,0.00,0.00,"237,270.00","237,270.00",0
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2018,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Manganese and manganese compounds (N450),1318216875207,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"233,383.92",19.92,0.00,0.00,"233,364.00","329,703.92",45
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Cobalt compounds (N096),1320219146976,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"232,790.01",0.05,0.00,"232,789.96",0.00,"232,790.01",4
SAPUTO CHEESE USA INC,93274STLLF901LE,2019,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217947213,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"231,604.00",0.00,0.00,0.00,"231,604.00","231,604.00",0
US MARINE CORPS MCB CAMP PENDLETON,92055MRNCRPOBOX,2018,920558008,"CAMP PENDLETON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1318216802001,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"230,000.00",0.00,0.00,"230,000.00",0.00,"262,000.00",0
US MARINE CORPS MCB CAMP PENDLETON,92055MRNCRPOBOX,2020,920558008,"CAMP PENDLETON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1320218700654,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"227,618.00",453.30,0.00,"227,164.70",0.00,"227,624.60","1,501"
US MARINE CORPS MCB CAMP PENDLETON,92055MRNCRPOBOX,2018,920558008,"CAMP PENDLETON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1318216802025,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"227,499.70",524.00,0.00,"226,975.70",0.00,"275,980.30","1,679"
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2018,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318217326216,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"227,233.00","223,351.00","3,858.00",0.00,24.00,"280,233.00",501
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2020,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Manganese and manganese compounds (N450),1320219132875,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"226,264.38",20.38,0.00,0.00,"226,244.00","280,549.38",46
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2018,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318218433656,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,"224,630.00","220,230.00","4,400.00",0.00,0.00,"4,930,000.00",79
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2018,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318217440256,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"224,054.00","220,350.00","3,703.00",0.00,1.00,"286,086.00",130
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2019,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1319217930306,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"222,555.56","8,873.00",0.00,0.00,"213,682.56","2,681,845.00",0
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2020,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1320219132899,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"217,276.34",9.27,0.00,0.00,"217,267.07","278,148.34",0
DOW AGROSCIENCES LLC,94565DWCHMFOOTO,2018,94565,"PITTSBURG, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrapyrin (1929-82-4),1318217492368,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,CORTEVA INC,       ,"214,916.00",26.00,0.00,0.00,"214,890.00","255,209.00",95
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2019,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Manganese and manganese compounds (N450),1319217859697,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"212,946.34",17.34,0.00,0.00,"212,929.00","301,566.34",39
M ARGUESO & CO INC,91770MRGSC2628R,2020,91770,"ROSEMEAD, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","4,4'-Isopropylidenediphenol (80-05-7)",1320218898512,325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,M ARGUESO & CO INC,       ,"211,407.08",1.08,0.00,"211,401.00",5.00,"211,407.08",0
US ECOLOGY VERNON INC,90058SFLTR5375S,2019,90058,"VERNON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitric acid (7697-37-2),1319217880739,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,US ECOLOGY INC,       ,"210,950.00",0.00,0.00,0.00,"210,950.00","210,950.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1320219147081,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"210,672.62",0.05,0.00,"210,575.99",96.58,"210,672.62",0
SAPUTO CHEESE USA INC,93274STLLF901LE,2020,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218950816,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"210,662.00",0.00,0.00,0.00,"210,662.00","210,662.00",0
SAFETY-KLEEN INC,94560VRGRN6880S,2020,94560,"NEWARK, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1320218815746,324 Petroleum,324191 Petroleum Lubricating Oil and Grease Manufacturing,CLEAN HARBORS INC,       ,"210,542.00",0.00,0.00,0.00,"210,542.00","1,162,137.00",0
US MARINE CORPS MCB CAMP PENDLETON,92055MRNCRPOBOX,2019,920558008,"CAMP PENDLETON, CA","SAN DIEGO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1319217839772,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"206,865.20",500.40,0.00,"206,364.80",0.00,"238,047.40","1,630"
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Barium (7440-39-3),1320219305834,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"203,450.02",28.66,0.00,"203,398.36",23.00,"220,029.37",1
US PIPE & FOUNDRY CO LLC,94587NTDST1295W,2019,94587,"UNION CITY, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319217859711,331 Primary Metals,331511 Iron Foundries,FORTERRA INC,       ,"202,280.57",7.89,57.40,0.00,"202,215.28","259,826.57",0
KNAUF INSULATION INC,96019KNFFB3100A,2020,96019,"SHASTA LAKE, CA","SHASTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1320218812473,327 Nonmetallic Mineral Product,327993 Mineral Wool Manufacturing,KNAUF INSULATION,       ,"199,201.18","199,145.72",0.00,0.00,55.46,"199,202.87",10
KNAUF INSULATION INC,96019KNFFB3100A,2019,96019,"SHASTA LAKE, CA","SHASTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1319217845458,327 Nonmetallic Mineral Product,327993 Mineral Wool Manufacturing,KNAUF INSULATION,       ,"195,446.48","195,367.13",0.00,0.00,79.35,"195,446.48",9
US ECOLOGY VERNON INC,90058SFLTR5375S,2019,90058,"VERNON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1319217880741,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,US ECOLOGY INC,       ,"193,868.00",0.00,0.00,0.00,"193,868.00","193,868.00",0
SAPUTO CHEESE USA INC,93274STLLF901LE,2018,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217168905,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"192,968.00",0.00,0.00,0.00,"192,968.00","192,968.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Arsenic (7440-38-2),1318217424605,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"186,515.98",47.61,0.00,"186,441.37",27.00,"186,515.98","3,286"
US ARMY FORT IRWIN NATIONAL TRAINING CENTER,92310SDDNTDIREC,2018,923105085,"FORT IRWIN, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217052529,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"184,248.00",0.00,0.00,"184,248.00",0.00,"219,255.00",0
SAFETY-KLEEN INC,94560VRGRN6880S,2019,94560,"NEWARK, CA","ALAMEDA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1319218144537,324 Petroleum,324191 Petroleum Lubricating Oil and Grease Manufacturing,CLEAN HARBORS INC,       ,"181,542.00",0.00,0.00,0.00,"181,542.00","1,187,885.00",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2019,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Diethanolamine (111-42-2),1319218161204,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"180,057.00",57.00,0.00,0.00,"180,000.00","180,057.00",19
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2018,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318218433872,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,"180,000.00",0.00,"180,000.00",0.00,0.00,"261,000.00",0
KNAUF INSULATION INC,96019KNFFB3100A,2018,96019,"SHASTA LAKE, CA","SHASTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318217015243,327 Nonmetallic Mineral Product,327993 Mineral Wool Manufacturing,KNAUF INSULATION,       ,"179,781.48","179,693.68",0.00,0.00,87.80,"179,783.92",8
SAPUTO CHEESE USA INC,95360FDRYF691IN,2020,95360,"NEWMAN, CA","STANISLAUS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218950792,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"177,603.00",0.00,0.00,0.00,"177,603.00","177,603.00",0
US ARMY FORT IRWIN NATIONAL TRAINING CENTER,92310SDDNTDIREC,2019,923105085,"FORT IRWIN, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217869534,999 Other,928110 National Security,US DEPARTMENT OF DEFENSE,DOD,"174,615.00",0.00,0.00,"174,615.00",0.00,"174,615.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2020,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1320219273101,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"173,313.52","7,075.20",0.00,0.00,"166,238.32","2,086,332.20",0
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2019,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1319218480337,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"172,414.00","170,310.00","2,104.00",0.00,0.00,"190,654.00",101
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,90748NCLLS1660W,2018,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Hydrogen cyanide (74-90-8),1318217363896,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,"170,000.00","170,000.00",0.00,0.00,0.00,"170,000.00","163,078"
PHILLIPS 66 LOS ANGELES REFINERY WILMINGTON PLANT,90748NCLLS1660W,2019,90744,"WILMINGTON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Hydrogen cyanide (74-90-8),1319218073094,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,"170,000.00","170,000.00",0.00,0.00,0.00,"170,000.00","163,158"
M ARGUESO & CO INC,91770MRGSC2628R,2018,91770,"ROSEMEAD, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","4,4'-Isopropylidenediphenol (80-05-7)",1318217026044,325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,M ARGUESO & CO INC,       ,"161,128.00",0.00,0.00,0.00,"161,128.00","161,128.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium (7440-47-3),1320219305861,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"160,828.44",24.14,0.00,"160,787.30",17.00,"160,828.44","1,383"
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Barium (7440-39-3),1318217203761,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"160,645.11",3.07,0.00,"160,405.96",236.08,"168,217.23",0
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2019,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218480566,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"160,000.00",0.00,"160,000.00",0.00,0.00,"160,000.00",0
